,municipio,link,pp,pp_porcentaje,cs,cs_porcentaje,psoe,psoe_porcentaje,mas_madrid,mas_madrid_porcentaje,podemos_iu,podemos_iu_porcentaje,vox,vox_porcentaje,pacma,pacma_porcentaje,fe_de_las_jons,fe_de_las_jons_porcentaje,pum+j,pum+j_porcentaje,pcte,pcte_porcentaje,upyd,upyd_porcentaje,ph,ph_porcentaje,pcas_tc,pcas_tc_porcentaje,p_lib,p_lib_porcentaje,uleg,uleg_porcentaje,escrutado,votos_totales,votos_totales_porcentaje,abstencion,abstencion_porcentaje,votos_nulos,votos_nulos_porcentaje,votos_blancos,votos_blancos_porcentaje,geometry,pp_share,rel_pp_share,psoe_share,rel_psoe_share,pp_psoe,otros_partidos,pp_psoe_share,rel_pp_psoe_share,otros_partidos_share,rel_otros_partidos_share,derecha,izquierda,derecha_share,rel_derecha_share,izquierda_share,rel_izquierda_share,mas_madrid_share,rel_mas_madrid_share,podemos_iu_share,rel_podemos_iu_share,abstencion_share,rel_abstencion_share,votos_totales_share,rel_votos_totales_share
42,Colmenarejo,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/44.html,854.0,19.6,869.0,19.94,1117.0,25.64,648.0,14.87,280.0,6.43,470.0,10.79,45.0,1.03,3.0,0.07,9.0,0.21,11.0,0.25,6.0,0.14,3.0,0.07,0.0,0.0,4.0,0.09,0.0,0.0,100.0,4380.0,70.66,1819.0,29.34,23.0,0.53,38.0,0.87,"MULTIPOLYGON (((-3.984400987625065 40.51640701293957, -3.987616062164307 40.50953292846691, -3.995249032974186 40.50127792358404, -3.996506929397583 40.49371719360363, -3.998392105102539 40.49280929565424, -4.00078821182251 40.48567199707031, -4.006267070770264 40.48741912841797, -4.00536394119257 40.49027252197266, -4.008559226989689 40.49172210693371, -4.012602806091309 40.4913711547851, -4.015956878661995 40.49555206298839, -4.019032001495361 40.49671173095697, -4.01730394363392 40.50432205200201, -4.020854949951172 40.50805664062505, -4.024105072021483 40.51759338378912, -4.026463985443058 40.51823806762695, -4.02617883682251 40.52287292480468, -4.029150962829533 40.52577209472656, -4.028408050537109 40.52726745605469, -4.035592079162541 40.52997970581066, -4.037209987640381 40.53456497192393, -4.04102087020874 40.53591918945318, -4.050154209136849 40.53557586669933, -4.054802894592284 40.53912734985362, -4.050367832183837 40.55224990844732, -4.046995162963754 40.57081222534173, -4.044647216796818 40.57862472534191, -4.047489166259708 40.58283233642584, -4.044276237487793 40.58351135253906, -4.031246185302734 40.58298873901378, -4.025950908660832 40.57754135131836, -4.025142192840576 40.5733299255371, -4.005321025848332 40.56162261962891, -4.006934165954533 40.55816650390625, -3.999937057495117 40.54994964599609, -4.000515937805119 40.54594421386719, -3.995064973831176 40.53501129150402, -3.988280057907048 40.52964401245117, -3.990689039230346 40.52738952636729, -3.988864898681584 40.52616119384771, -3.990170955657959 40.52516937255859, -3.985433101654053 40.52003860473644, -3.984400987625065 40.51640701293957)))",0.19497716894977168,0.5685752330226365,0.2550228310502283,0.5667174023338407,1971.0,2267.0,0.45,0.631528356296059,0.5175799086757991,0.5349221330816423,2193.0,2045.0,0.5006849315068493,0.5174610665408211,0.4668949771689498,0.48253893345917886,0.14794520547945206,0.6982758620689655,0.0639269406392694,0.3017241379310345,0.41529680365296806,0.2934344249072431,1.0,0.7065655750927569
43,Corpa,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/48.html,74.0,19.58,45.0,11.9,127.0,33.6,57.0,15.08,39.0,10.32,25.0,6.61,3.0,0.79,1.0,0.26,0.0,0.0,1.0,0.26,2.0,0.53,0.0,0.0,0.0,0.0,1.0,0.26,0.0,0.0,100.0,382.0,74.76,129.0,25.24,4.0,1.05,3.0,0.79,"MULTIPOLYGON (((-3.211730003356934 40.43433761596685, -3.216085910797119 40.41788482666027, -3.215153932571411 40.40957260131842, -3.219209909439086 40.40310668945312, -3.256881952285652 40.39308929443371, -3.270937919616699 40.39861679077148, -3.278508901596069 40.39460754394537, -3.279896974563598 40.40538787841797, -3.287954092025757 40.41508865356451, -3.288094997406006 40.4179191589356, -3.280457973480225 40.42081832885748, -3.275640010833683 40.42469787597662, -3.271703004837036 40.43674850463867, -3.267774105072021 40.43864440917974, -3.260519981384221 40.43814849853526, -3.256853103637638 40.44100952148448, -3.234909057617188 40.44445037841791, -3.233119964599609 40.44223785400396, -3.215266942977848 40.4378700256347, -3.211730003356934 40.43433761596685)))",0.193717277486911,0.5648854961832062,0.3324607329842932,0.6318407960199005,201.0,166.0,0.5261780104712042,0.8375,0.43455497382198954,0.45231607629427795,144.0,223.0,0.3769633507853403,0.3923705722070845,0.5837696335078534,0.6076294277929155,0.14921465968586387,0.59375,0.10209424083769633,0.40625,0.337696335078534,0.25244618395303325,1.0,0.7475538160469667
44,Coslada,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/49.html,5940.0,15.01,7513.0,18.99,12578.0,31.79,6919.0,17.49,2951.0,7.46,2705.0,6.84,409.0,1.03,22.0,0.06,34.0,0.09,65.0,0.16,38.0,0.1,166.0,0.42,20.0,0.05,8.0,0.02,6.0,0.02,100.0,39726.0,68.63,18155.0,31.37,160.0,0.4,192.0,0.49,"MULTIPOLYGON (((-3.531075954437256 40.44671249389648, -3.531513929367065 40.44384765625011, -3.526762008666935 40.43332290649414, -3.532411098480225 40.43204116821295, -3.532028913497811 40.42980194091797, -3.537931919097844 40.42955780029308, -3.536880970001221 40.42343521118164, -3.545120000839233 40.41152572631847, -3.566163063049316 40.41345214843756, -3.572783946990967 40.41184234619135, -3.576987028121891 40.41268539428722, -3.580746889114323 40.41685485839844, -3.579598903656006 40.41888809204107, -3.585968971252328 40.42355728149425, -3.586371898651066 40.42808914184581, -3.579806089401245 40.43224716186529, -3.579925060272103 40.43494796752935, -3.573663949966431 40.43771743774414, -3.567931890487614 40.43606185913091, -3.563301086425781 40.43643569946295, -3.549917936325073 40.44200515747076, -3.537739992141666 40.44386291503918, -3.538209915161019 40.4449691772462, -3.535037040710449 40.4450187683106, -3.535475015640202 40.44651412963867, -3.531075954437256 40.44671249389648)))",0.1495242410512007,0.4619332763045338,0.31661883904747523,0.6792310184685171,18518.0,20088.0,0.46614308009867594,0.7114645766098048,0.5056637970095151,0.5203336268973735,16158.0,22448.0,0.40673614257665003,0.4185359788633891,0.5650707345315411,0.5814640211366109,0.17416805115038012,0.7010131712259372,0.07428384433368575,0.2989868287740628,0.45700548758999143,0.313660786786683,1.0,0.6863392132133169
45,Cubas de la Sagra,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/50.html,723.0,25.9,637.0,22.82,598.0,21.43,258.0,9.24,136.0,4.87,374.0,13.4,39.0,1.4,1.0,0.04,2.0,0.07,1.0,0.04,2.0,0.07,1.0,0.04,1.0,0.04,0.0,0.0,1.0,0.04,100.0,2808.0,64.15,1569.0,35.85,17.0,0.61,17.0,0.61,"MULTIPOLYGON (((-3.805984973907471 40.17750167846691, -3.806687116622811 40.17727279663097, -3.808229923248291 40.17759704589855, -3.808087110519352 40.17941665649425, -3.812540054321289 40.17852020263683, -3.853370904922429 40.17977523803722, -3.864905118942204 40.18717575073247, -3.876151084899902 40.19112014770508, -3.868853092193547 40.20095062255859, -3.857559919357299 40.1990318298341, -3.845009088516178 40.20154953002923, -3.843266963958683 40.20330810546886, -3.835485935211068 40.20212173461908, -3.820533037185669 40.20543670654308, -3.813465118408146 40.20384597778315, -3.812275886535531 40.19580078125, -3.807523965835571 40.19522094726562, -3.808442115783634 40.1895637512207, -3.80373811721796 40.18899536132818, -3.805984973907471 40.17750167846691)))",0.25747863247863245,0.7370030581039755,0.21296296296296297,0.45268735806207416,1321.0,1405.0,0.4704415954415954,0.6207706766917294,0.5003561253561254,0.5154071900220103,1734.0,992.0,0.6175213675213675,0.6360968451944241,0.35327635327635326,0.36390315480557595,0.09188034188034189,0.6548223350253807,0.04843304843304843,0.34517766497461927,0.5587606837606838,0.3584647018505826,1.0,0.6415352981494175
46,Daganzo de Arriba,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/53.html,1177.0,23.4,1037.0,20.62,1299.0,25.83,634.0,12.61,250.0,4.97,527.0,10.48,59.0,1.17,3.0,0.06,4.0,0.08,3.0,0.06,3.0,0.06,3.0,0.06,2.0,0.04,2.0,0.04,1.0,0.02,100.0,5056.0,73.67,1807.0,26.33,27.0,0.53,25.0,0.5,"MULTIPOLYGON (((-3.416487932205143 40.54510879516602, -3.420000076293945 40.54393768310553, -3.424848079681396 40.54503631591797, -3.425391912460327 40.54333114624035, -3.433135032653751 40.5444107055664, -3.437072992324829 40.53636932373058, -3.438595056533813 40.5361442565918, -3.436106920242309 40.52944564819335, -3.428448915481511 40.5301017761231, -3.430711984634399 40.51840972900402, -3.429327964782601 40.51814651489269, -3.429342031478768 40.51095581054693, -3.43400502204895 40.50925445556652, -3.438977956771737 40.513584136963, -3.448630094528085 40.51127243042004, -3.452415943145695 40.51242828369146, -3.455857992172128 40.51006317138666, -3.462747097015324 40.51108169555675, -3.461353063583374 40.51768875122076, -3.462927103042488 40.52366256713879, -3.461061000823975 40.52683258056652, -3.470571994781437 40.53305435180658, -3.468723058700562 40.53884887695324, -3.472152948379517 40.53798675537114, -3.475972890853825 40.54216003417969, -3.475601911544799 40.54444122314453, -3.478694915771484 40.54436492919933, -3.480911970138436 40.5474090576173, -3.482677936553955 40.55155563354486, -3.481515884399414 40.55409240722667, -3.48343300819397 40.5546531677246, -3.480911970138436 40.56218338012707, -3.474132061004581 40.57048416137695, -3.473133087158203 40.57992553710938, -3.469693899154663 40.582935333252, -3.470786094665471 40.58538818359386, -3.46724605560297 40.58962631225592, -3.465926885604858 40.59531784057623, -3.464894056320077 40.59816741943371, -3.453706026077271 40.60742950439459, -3.449321031570434 40.61265563964855, -3.441946029663086 40.61640167236334, -3.443764925003051 40.61261749267584, -3.439265966415405 40.60966491699219, -3.443140029907227 40.60404586791992, -3.442941904067993 40.59567642211914, -3.43794393539423 40.59373474121099, -3.433021068572941 40.58735656738281, -3.427481889724731 40.5859260559082, -3.414997100830078 40.57904434204102, -3.410938024520874 40.57794952392589, -3.402456998825016 40.57859420776379, -3.399988889694157 40.57680130004888, -3.398389101028442 40.57779693603516, -3.39560604095459 40.57479858398443, -3.403861045837289 40.5606689453125, -3.399759054183903 40.55813217163092, -3.401504993438664 40.5554695129395, -3.404831886291447 40.55513381958019, -3.410320043563729 40.54844665527344, -3.414324998855591 40.54860687255859, -3.416487932205143 40.54510879516602)))",0.23279272151898733,0.6499171728326891,0.2569224683544304,0.5246365105008077,2476.0,2448.0,0.4897151898734177,0.6830344827586207,0.48417721518987344,0.49715678310316813,2741.0,2183.0,0.542128164556962,0.5566612510154346,0.4317642405063291,0.4433387489845654,0.12539556962025317,0.7171945701357466,0.04944620253164557,0.2828054298642534,0.35739715189873417,0.2632959347224246,1.0,0.7367040652775754
47,El Atazar,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/16.html,14.0,21.54,11.0,16.92,24.0,36.92,3.0,4.62,4.0,6.15,6.0,9.23,2.0,3.08,0.0,0.0,0.0,0.0,1.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,65.0,82.28,14.0,17.72,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((-3.498524904251099 40.90830612182623, -3.500140905380192 40.90848159790039, -3.497581958770752 40.91212081909185, -3.501322031021061 40.91545486450207, -3.502197027206421 40.92432403564464, -3.500080108642521 40.92391204833996, -3.497210025787297 40.92770767211914, -3.498341083526611 40.94550323486339, -3.492818117141666 40.95515823364257, -3.484793901443481 40.96275711059582, -3.47927808761591 40.9641838073731, -3.481892108917179 40.96590423583995, -3.480613946914559 40.96643066406256, -3.443591117858887 40.96398544311523, -3.439279079437199 40.96626281738293, -3.434125900268555 40.96497726440435, -3.421472072601205 40.96733093261724, -3.427723884582463 40.96025466918957, -3.431349992752018 40.94925689697271, -3.434891939163208 40.9460830688476, -3.433624982833862 40.9375572204591, -3.435595989227238 40.93368530273432, -3.447124004364014 40.92240524291992, -3.44641089439392 40.9187965393067, -3.44937610626215 40.9129142761231, -3.459367036819401 40.91543579101562, -3.464097023010254 40.91393661499035, -3.465133905410709 40.91476821899414, -3.462872982025146 40.91741180419928, -3.470312118530159 40.91818237304699, -3.470495939254761 40.91402816772467, -3.478513956069946 40.90944290161138, -3.479618072509766 40.91092681884771, -3.478226900100651 40.91229629516601, -3.481611967086735 40.91253280639654, -3.483860969543457 40.91156768798822, -3.484395027160587 40.90799713134766, -3.488647937774601 40.91006851196294, -3.498524904251099 40.90830612182623)))",0.2153846153846154,0.8235294117647058,0.36923076923076925,0.631578947368421,38.0,24.0,0.5846153846153846,1.0,0.36923076923076925,0.3870967741935484,31.0,31.0,0.47692307692307695,0.5,0.47692307692307695,0.5,0.046153846153846156,0.42857142857142855,0.06153846153846154,0.5714285714285714,0.2153846153846154,0.17721518987341772,1.0,0.8227848101265823
48,El Berrueco,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/21.html,110.0,27.64,54.0,13.57,87.0,21.86,57.0,14.32,48.0,12.06,32.0,8.04,2.0,0.5,0.0,0.0,1.0,0.25,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,398.0,68.62,182.0,31.38,0.0,0.0,5.0,1.26,"MULTIPOLYGON (((-3.52416801452631 40.87755584716808, -3.528158903121891 40.86898040771495, -3.537184000015202 40.86238861083984, -3.54069805145258 40.86269760131836, -3.547154903411808 40.85581970214855, -3.555253028869572 40.85799789428716, -3.571192979812508 40.85041427612316, -3.593993902206307 40.87813568115245, -3.598823070526123 40.8885612487794, -3.602060079574585 40.89468765258783, -3.573543071746826 40.90134429931646, -3.571094989776611 40.90374374389654, -3.56524205207819 40.90383911132817, -3.562908887863102 40.90579605102539, -3.554676055908203 40.90392303466808, -3.545505046844482 40.90491485595702, -3.539591073989811 40.8988609313966, -3.536482095718384 40.90328979492192, -3.530567884445134 40.90019989013678, -3.527044057846069 40.90197372436523, -3.519833087921086 40.90150070190441, -3.518269062042236 40.90504837036133, -3.515149116516113 40.90522384643555, -3.51544094085682 40.90001678466803, -3.51242995262146 40.89590454101574, -3.517394065856934 40.89024353027344, -3.52416801452631 40.87755584716808)))",0.27638190954773867,0.6586826347305389,0.2185929648241206,0.4416243654822335,197.0,191.0,0.4949748743718593,0.654485049833887,0.4798994974874372,0.49226804123711343,196.0,192.0,0.49246231155778897,0.5051546391752577,0.4824120603015075,0.4948453608247423,0.14321608040201006,0.5428571428571428,0.12060301507537688,0.45714285714285713,0.457286432160804,0.3137931034482759,1.0,0.6862068965517242
49,El Boalo,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/23.html,769.0,19.77,844.0,21.7,891.0,22.9,559.0,14.37,256.0,6.58,484.0,12.44,45.0,1.16,5.0,0.13,1.0,0.03,1.0,0.03,3.0,0.08,1.0,0.03,1.0,0.03,1.0,0.03,1.0,0.03,100.0,3909.0,76.54,1198.0,23.46,19.0,0.49,28.0,0.72,"MULTIPOLYGON (((-3.924310922622567 40.67975234985351, -3.926040887832585 40.67819976806646, -3.932255983352661 40.68358993530273, -3.945091962814331 40.68669891357422, -3.951952934265137 40.6921844482423, -3.952024936675911 40.69909286499029, -3.950028896331787 40.70342254638683, -3.941270112991333 40.71350479125977, -3.937105894088631 40.71545791625977, -3.933235883712712 40.72583007812499, -3.939168930053711 40.72669982910167, -3.951225042343082 40.72186279296881, -3.956942081451416 40.72487258911144, -3.958970069885254 40.72845840454107, -3.962774038314819 40.76479339599615, -3.968542098999023 40.76713943481445, -3.965203046798706 40.7681121826173, -3.951284885406494 40.76347351074224, -3.945276975631657 40.75747680664062, -3.931227922439576 40.75068283081048, -3.920064926147347 40.7427482604981, -3.912210941314697 40.74167251586925, -3.909440040588322 40.73997497558599, -3.908323049545288 40.73624420166027, -3.892848014831543 40.7161979675293, -3.893642902374267 40.70924377441406, -3.891489028930664 40.7049179077149, -3.905567884445134 40.69715118408214, -3.913068056106567 40.68740844726574, -3.924310922622567 40.67975234985351)), ((-3.919291973114014 40.67280197143566, -3.913330078124943 40.67200088500982, -3.905435085296574 40.67352294921869, -3.90247893333435 40.67705917358393, -3.902687072753906 40.67927551269531, -3.906862020492554 40.67749404907227, -3.911335945129337 40.67493057250987, -3.91535210609436 40.6753273010255, -3.914133071899357 40.67615509033214, -3.903541088104248 40.68048477172845, -3.901227951049805 40.67914199829113, -3.90079998970026 40.68240737915039, -3.898608922958374 40.68331527709972, -3.890063047409 40.67954254150396, -3.877141952514592 40.68227386474621, -3.87351393699646 40.68169403076183, -3.877701044082585 40.67878341674804, -3.87856388092041 40.67617416381842, -3.875320911407471 40.66796493530273, -3.868444919586125 40.66133117675781, -3.8732590675354 40.65671157836914, -3.89244890213007 40.66764450073248, -3.899174928665104 40.67070770263672, -3.903290987014714 40.67059326171881, -3.905574083328247 40.66889190673839, -3.902924060821476 40.65663528442394, -3.904200077056885 40.65380477905273, -3.908149957656746 40.65126800537109, -3.917478084564095 40.64921569824224, -3.918437957763672 40.65019607543945, -3.914782047271728 40.65620803833019, -3.91575288772583 40.66064071655285, -3.927814006805363 40.65766906738293, -3.928973913192749 40.65944671630859, -3.927640914916992 40.6639518737793, -3.915957927703857 40.66347503662109, -3.919291973114014 40.67280197143566)), ((-3.836913108825626 40.66751861572271, -3.845879077911377 40.66838073730462, -3.844985961914062 40.67152404785162, -3.83182406425476 40.67778778076172, -3.835604906082153 40.67016220092785, -3.836913108825626 40.66751861572271)))",0.196725505244308,0.579066265060241,0.22793553338449732,0.5367469879518072,1660.0,2143.0,0.42466103862880533,0.570054945054945,0.5482220516756203,0.5635024980278728,2097.0,1706.0,0.5364543361473523,0.5514067841178018,0.43642875415707344,0.44859321588219825,0.14300332565873625,0.6858895705521473,0.06548989511383986,0.3141104294478528,0.3064722435405475,0.23457998825141962,1.0,0.7654200117485804
50,El Escorial,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/54.html,1939.0,23.57,1545.0,18.78,2214.0,26.92,935.0,11.37,522.0,6.35,909.0,11.05,84.0,1.02,7.0,0.09,4.0,0.05,5.0,0.06,11.0,0.13,3.0,0.04,2.0,0.02,1.0,0.01,4.0,0.05,100.0,8272.0,69.51,3629.0,30.49,47.0,0.57,40.0,0.49,"MULTIPOLYGON (((-4.046995162963754 40.57081222534173, -4.054647922515869 40.56983947753912, -4.059933185577279 40.57240295410167, -4.069740772247258 40.56883621215826, -4.078519821166992 40.56748199462885, -4.08053016662592 40.56461715698248, -4.08616399765009 40.56167602539068, -4.087524890899658 40.55891418457031, -4.097605228424072 40.55632019042974, -4.102561950683594 40.5518531799317, -4.104885101318359 40.54797744750977, -4.103295803070068 40.54766464233404, -4.107111930847167 40.54343032836919, -4.11117696762085 40.5443572998048, -4.119133949279728 40.54207992553711, -4.124474048614444 40.53865814208996, -4.124041080474797 40.53461074829102, -4.131577968597298 40.52650070190435, -4.128174781799316 40.52210998535156, -4.131898880004883 40.51893234252924, -4.138545036315861 40.52168273925793, -4.1418461799621 40.52203369140636, -4.143247127532959 40.52050399780273, -4.14910697937006 40.52205657958996, -4.150732040405217 40.52952957153326, -4.153540134429932 40.5314445495606, -4.148537158966064 40.53298187255859, -4.144699096679574 40.53231811523442, -4.144908905029297 40.53551483154303, -4.149772167205811 40.539707183838, -4.148845195770263 40.54624176025396, -4.151685237884465 40.55752563476574, -4.154139041900635 40.56158065795903, -4.159725189208984 40.56282424926758, -4.1455078125 40.5680389404298, -4.141055107116586 40.57219696044933, -4.140590190887337 40.57470703125011, -4.145259857177678 40.5796852111817, -4.140786170959416 40.58965301513672, -4.132281780242863 40.59622955322277, -4.133462905883732 40.59759521484386, -4.118122100830078 40.60463714599621, -4.108697891235238 40.61300659179699, -4.097322940826416 40.62868118286138, -4.092698097229004 40.63074493408214, -4.056336879730225 40.63745880126964, -4.055041790008431 40.63484954833984, -4.051822185516357 40.63455581665038, -4.047691822051945 40.62906265258795, -4.03291893005371 40.63020324707043, -4.033187866210881 40.62784194946283, -4.037001132965088 40.62430191040044, -4.034170150756836 40.62168884277343, -4.042431831359863 40.61238098144537, -4.034823894500619 40.6081275939942, -4.034605026245117 40.59781265258795, -4.036773204803467 40.59344100952154, -4.038557052612305 40.59195709228516, -4.039395809173584 40.59278869628918, -4.043356895446777 40.58834457397472, -4.044276237487793 40.58351135253906, -4.047489166259708 40.58283233642584, -4.044647216796818 40.57862472534191, -4.046995162963754 40.57081222534173)))",0.23440522243713732,0.674669450243563,0.26764990328820115,0.5331085961955213,4153.0,3911.0,0.5020551257253385,0.70991452991453,0.4727998065764023,0.4849950396825397,4393.0,3671.0,0.531068665377176,0.5447668650793651,0.4437862669245648,0.45523313492063494,0.11303191489361702,0.641729581331503,0.06310444874274662,0.3582704186684969,0.43870889748549324,0.3049323586253256,1.0,0.6950676413746744
51,El Molar,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/86.html,773.0,22.68,728.0,21.36,926.0,27.17,357.0,10.48,133.0,3.9,405.0,11.88,49.0,1.44,5.0,0.15,1.0,0.03,1.0,0.03,1.0,0.03,2.0,0.06,1.0,0.03,2.0,0.06,0.0,0.0,100.0,3435.0,63.42,1981.0,36.58,27.0,0.79,24.0,0.7,"MULTIPOLYGON (((-3.593462944030762 40.65480422973633, -3.597052097320499 40.65802001953136, -3.601594924926701 40.66976165771484, -3.601294040679931 40.67330169677746, -3.604856014251652 40.67973327636724, -3.600744962692147 40.69627380371094, -3.602060079574585 40.6966285705567, -3.603360891342106 40.7109375, -3.60702109336853 40.71505355834961, -3.608081102371159 40.7143898010255, -3.605648994445801 40.72052001953131, -3.595097064971867 40.7254371643067, -3.591718912124634 40.72896957397461, -3.593485116958504 40.75070571899414, -3.587330102920418 40.74822616577148, -3.582657098770027 40.75059127807623, -3.576658964157104 40.75002670288092, -3.572033882141056 40.74397659301769, -3.561800956726074 40.74384689331055, -3.555639982223511 40.7380867004394, -3.54748797416687 40.73455429077153, -3.544090032577458 40.73461532592785, -3.53932595252985 40.73283004760748, -3.530666112899723 40.73404693603516, -3.525765895843449 40.73275756835942, -3.528183937072754 40.71366500854504, -3.532073974609375 40.7114143371582, -3.544003009796143 40.69221496582026, -3.546958923339844 40.69172286987316, -3.553205966949462 40.68712615966797, -3.55531191825861 40.68278503417974, -3.553431987762451 40.68027877807629, -3.555185079574585 40.66896438598638, -3.554493904113656 40.66686630249029, -3.550230026245003 40.66491699218761, -3.556324005126953 40.66238403320318, -3.555826902389413 40.66077423095702, -3.555774927139282 40.65032958984381, -3.559066057205143 40.65048599243175, -3.566692113876286 40.65036773681646, -3.568147897720337 40.6435432434082, -3.577770948409977 40.64580917358398, -3.584163904190006 40.64512252807623, -3.584662914276066 40.65353393554687, -3.589333057403565 40.65588378906256, -3.593462944030762 40.65480422973633)))",0.22503639010189228,0.684070796460177,0.2695778748180495,0.5450264861683343,1699.0,1623.0,0.49461426491994176,0.7090984974958264,0.4724890829694323,0.48856110776640577,1906.0,1416.0,0.5548762736535662,0.5737507525586996,0.41222707423580784,0.42624924744130044,0.10393013100436681,0.7285714285714285,0.03871906841339156,0.2714285714285714,0.5767103347889374,0.365768094534712,1.0,0.6342319054652881
52,El Vellón,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/168.html,235.0,27.58,107.0,12.56,290.0,34.04,71.0,8.33,47.0,5.52,92.0,10.8,5.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12,1.0,0.12,0.0,0.0,100.0,853.0,63.85,483.0,36.15,1.0,0.12,3.0,0.35,"MULTIPOLYGON (((-3.593485116958504 40.75070571899414, -3.59857702255249 40.75841140747076, -3.603799104690552 40.7764015197755, -3.608083009719849 40.77965545654303, -3.610318899154606 40.78693008422852, -3.595814943313542 40.79139709472651, -3.582998991012516 40.78971481323248, -3.579035997390747 40.79174041748058, -3.574843883514347 40.79099655151373, -3.565783023834115 40.79035568237299, -3.558805942535344 40.79208374023443, -3.540369987487793 40.78873062133795, -3.532969951629582 40.7896385192871, -3.532290935516357 40.7877311706543, -3.510572910308837 40.78862380981457, -3.5084810256958 40.78169631958013, -3.523771047592163 40.76091003417969, -3.528923988342228 40.76220703125011, -3.53695797920227 40.75947952270508, -3.540254116058349 40.75250625610357, -3.534424066543579 40.75073242187511, -3.532938003539982 40.74720001220703, -3.536983013153019 40.74483108520508, -3.539104938507023 40.74512481689459, -3.535574913024902 40.74065780639654, -3.542066097259521 40.73474502563482, -3.544090032577458 40.73461532592785, -3.54748797416687 40.73455429077153, -3.555639982223511 40.7380867004394, -3.561800956726074 40.74384689331055, -3.572033882141056 40.74397659301769, -3.576658964157104 40.75002670288092, -3.582657098770027 40.75059127807623, -3.587330102920418 40.74822616577148, -3.593485116958504 40.75070571899414)))",0.27549824150058616,0.7679738562091504,0.3399765533411489,0.5523809523809524,525.0,317.0,0.6154747948417351,0.9510869565217391,0.3716295427901524,0.37648456057007124,434.0,408.0,0.5087924970691676,0.5154394299287411,0.4783118405627198,0.4845605700712589,0.08323563892145369,0.6016949152542372,0.05509964830011723,0.3983050847457627,0.5662368112543963,0.3615269461077844,1.0,0.6384730538922155
53,El Álamo,https://resultados.elpais.com/elecciones/2019/autonomicas/12/28/04.html,1102.0,26.0,674.0,15.9,1258.0,29.68,354.0,8.35,236.0,5.57,537.0,12.67,32.0,0.76,4.0,0.09,1.0,0.02,2.0,0.05,5.0,0.12,4.0,0.09,0.0,0.0,3.0,0.07,1.0,0.02,100.0,4264.0,65.01,2295.0,34.99,26.0,0.61,25.0,0.59,"MULTIPOLYGON (((-4.023633956909066 40.24909973144543, -4.005292892455998 40.25729370117199, -3.977404117584228 40.25325393676757, -3.972204923629761 40.24748611450206, -3.968813896179143 40.2371826171875, -3.960546970367431 40.23033905029302, -3.9512300491333 40.22807312011724, -3.949966907501163 40.22613143920909, -3.948630094528141 40.22288894653332, -3.952852964401245 40.21233367919916, -3.977072954177743 40.21239089965832, -3.992347955703679 40.20973205566412, -3.99876594543457 40.2162971496582, -4.009241104125977 40.22060012817394, -4.020513057708739 40.23084640502935, -4.021120071411076 40.23446273803717, -4.02593088150013 40.23617553710932, -4.026169776916447 40.24504852294928, -4.023633956909066 40.24909973144543)))",0.2584427767354597,0.7568681318681318,0.2950281425891182,0.5330508474576271,2360.0,1801.0,0.5534709193245778,0.8129521184981054,0.4223733583489681,0.4328286469598654,2313.0,1848.0,0.5424484052532833,0.5558759913482336,0.4333958724202627,0.4441240086517664,0.08302063789868667,0.6,0.055347091932457786,0.4,0.5382270168855535,0.34990089952736697,1.0,0.650099100472633
