,municipio,link,pp,pp_porcentaje,vox,vox_porcentaje,mas_madrid,mas_madrid_porcentaje,psoe,psoe_porcentaje,podemos_iu,podemos_iu_porcentaje,cs,cs_porcentaje,pacma,pacma_porcentaje,fe_de_las_jons,fe_de_las_jons_porcentaje,pcte,pcte_porcentaje,ph,ph_porcentaje,3e_en_accion,3e_en_accion_porcentaje,eb,eb_porcentaje,partido_autonomos,partido_autonomos_porcentaje,p_lib,p_lib_porcentaje,udec,udec_porcentaje,pum+j,pum+j_porcentaje,volt,volt_porcentaje,recortes_cero_pcas_tc_gv_m,recortes_cero_pcas_tc_gv_m_porcentaje,pcoe_pcpe,pcoe_pcpe_porcentaje,pole,pole_porcentaje,escrutado,votos_totales,votos_totales_porcentaje,abstencion,abstencion_porcentaje,votos_nulos,votos_nulos_porcentaje,votos_blancos,votos_blancos_porcentaje,geometry,pp_share,rel_pp_share,psoe_share,rel_psoe_share,pp_psoe,otros_partidos,pp_psoe_share,rel_pp_psoe_share,otros_partidos_share,rel_otros_partidos_share,derecha,izquierda,derecha_share,rel_derecha_share,izquierda_share,rel_izquierda_share,mas_madrid_share,rel_mas_madrid_share,podemos_iu_share,rel_podemos_iu_share,abstencion_share,rel_abstencion_share,votos_totales_share,rel_votos_totales_share
72,La Acebeda,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/01.html,23.0,56.1,1.0,2.44,3.0,7.32,7.0,17.07,6.0,14.63,1.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,42.0,82.35,9.0,17.65,1.0,2.38,0.0,0.0,"MULTIPOLYGON (((-3.608527898788452 41.07548141479504, -3.610416889190674 41.07908630371094, -3.617208957672119 41.07829284667969, -3.613451004028263 41.07244873046881, -3.616328954696655 41.06960296630865, -3.626430034637394 41.07036209106445, -3.629875898361092 41.06853103637701, -3.653589010238647 41.07482147216808, -3.670160055160522 41.08203125000011, -3.676739931106567 41.08644104003917, -3.672092914581298 41.09183883666998, -3.65056395530695 41.10730361938488, -3.643523931503296 41.12049484252941, -3.639247894287052 41.11938476562505, -3.631548881530762 41.12030792236334, -3.615768909454288 41.10906982421881, -3.610904932022094 41.10204315185553, -3.604260921478215 41.09966278076172, -3.600395917892399 41.09629821777349, -3.600811004638615 41.0921249389649, -3.605889081954956 41.09138488769543, -3.607481956481934 41.08351516723627, -3.605036020278929 41.07761764526367, -3.608527898788452 41.07548141479504)))",0.5476190476190477,0.8846153846153846,0.16666666666666666,0.23333333333333334,30.0,11.0,0.7142857142857143,0.8823529411764706,0.2619047619047619,0.2682926829268293,25.0,16.0,0.5952380952380952,0.6097560975609756,0.38095238095238093,0.3902439024390244,0.07142857142857142,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.21428571428571427,0.17647058823529413,1.0,0.8235294117647058
73,La Cabrera,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/30.html,548.0,38.32,156.0,10.91,306.0,21.4,233.0,16.29,129.0,9.02,30.0,2.1,10.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.21,2.0,0.14,1.0,0.07,0.0,0.0,0.0,0.0,3.0,0.21,1.0,0.07,0.0,0.0,1.0,0.07,0.0,0.0,100.0,1446.0,74.42,497.0,25.58,16.0,1.11,7.0,0.49,"MULTIPOLYGON (((-3.571192979812508 40.85041427612316, -3.575778961181641 40.84820556640636, -3.598912000656127 40.84583663940441, -3.60446906089777 40.84225845336913, -3.616379022598267 40.8413200378418, -3.626101970672607 40.84202957153332, -3.642836093902531 40.8528213500976, -3.647371053695679 40.87738800048839, -3.650053977966308 40.88118743896496, -3.639939069747924 40.88083648681651, -3.62231707572937 40.88363647460943, -3.619587898254395 40.88275146484386, -3.598823070526123 40.8885612487794, -3.593993902206307 40.87813568115245, -3.571192979812508 40.85041427612316)))",0.3789764868603043,0.6416861826697893,0.16113416320885202,0.29833546734955185,781.0,621.0,0.5401106500691563,0.6680923866552609,0.42946058091286304,0.4429386590584879,734.0,668.0,0.5076071922544951,0.5235378031383737,0.46196403872752423,0.4764621968616263,0.21161825726141079,0.7034482758620689,0.08921161825726141,0.296551724137931,0.3437067773167358,0.25579001544004115,1.0,0.7442099845599588
74,La Hiruela,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/69.html,18.0,36.73,6.0,12.24,9.0,18.37,3.0,6.12,11.0,22.45,2.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,51.0,78.46,14.0,21.54,2.0,3.92,0.0,0.0,"MULTIPOLYGON (((-3.438203096389657 41.04261016845703, -3.442404031753483 41.04254150390636, -3.458435058593636 41.05018615722667, -3.467406034469547 41.04823303222662, -3.465816974639893 41.05742263793945, -3.479087114334106 41.06734466552745, -3.485001087188721 41.06404113769537, -3.486579895019531 41.0683937072755, -3.479152917861881 41.07148742675786, -3.478543996810856 41.07796859741222, -3.484277963638248 41.08378219604498, -3.484816074371224 41.08745574951172, -3.475528955459538 41.09572601318364, -3.45663499832142 41.08744430541998, -3.45556807517994 41.08452987670898, -3.448463916778564 41.08171081542969, -3.444343090057373 41.08331298828131, -3.4401819705962 41.08234786987316, -3.436398029327336 41.08453369140636, -3.432293891906681 41.08485412597662, -3.425784111022892 41.08342742919922, -3.427813053131104 41.08222198486339, -3.425669908523559 41.07327651977539, -3.427361965179387 41.06581115722668, -3.432841062545776 41.06277465820324, -3.431564092636052 41.05864334106451, -3.435360908508244 41.05345153808605, -3.434514045715275 41.04932785034191, -3.437886953353882 41.04673004150396, -3.438203096389657 41.04261016845703)))",0.35294117647058826,0.6666666666666666,0.058823529411764705,0.14285714285714285,21.0,28.0,0.4117647058823529,0.45652173913043476,0.5490196078431373,0.5714285714285714,26.0,23.0,0.5098039215686274,0.5306122448979592,0.45098039215686275,0.46938775510204084,0.17647058823529413,0.45,0.21568627450980393,0.55,0.27450980392156865,0.2153846153846154,1.0,0.7846153846153846
75,La Serna del Monte,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/138.html,35.0,62.5,4.0,7.14,7.0,12.5,4.0,7.14,6.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,56.0,84.85,10.0,15.15,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((-3.61768102645874 41.01302719116216, -3.619138956069832 41.02146530151379, -3.623658895492553 41.02278518676763, -3.623435974121094 41.02421188354492, -3.625854015350285 41.02462768554699, -3.628556966781559 41.02129364013672, -3.634454965591374 41.02102279663092, -3.633546113967895 41.02799987792974, -3.635685920715332 41.02907943725592, -3.63059401512146 41.03406143188488, -3.622699022293091 41.05080413818354, -3.626424074172917 41.06475448608404, -3.629875898361092 41.06853103637701, -3.626430034637394 41.07036209106445, -3.616328954696655 41.06960296630865, -3.618942975997925 41.06665420532232, -3.617475986480599 41.05595779418951, -3.622266054153442 41.04912567138672, -3.616734981536865 41.0417594909668, -3.616348028182983 41.03466033935553, -3.61367392539978 41.03102874755859, -3.612447977065983 41.02464675903326, -3.608571052551155 41.02328109741211, -3.614875078201294 41.01440048217779, -3.61768102645874 41.01302719116216)))",0.625,0.8333333333333334,0.07142857142857142,0.10256410256410256,39.0,17.0,0.6964285714285714,0.75,0.30357142857142855,0.30357142857142855,39.0,17.0,0.6964285714285714,0.6964285714285714,0.30357142857142855,0.30357142857142855,0.125,0.5384615384615384,0.10714285714285714,0.46153846153846156,0.17857142857142858,0.15151515151515152,1.0,0.8484848484848485
76,Las Rozas de Madrid,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/127.html,32399.0,58.32,6009.0,10.82,5990.0,10.78,5923.0,10.66,1897.0,3.41,2652.0,4.77,169.0,0.3,8.0,0.01,7.0,0.01,10.0,0.02,13.0,0.02,43.0,0.08,20.0,0.04,13.0,0.02,17.0,0.03,30.0,0.05,12.0,0.02,8.0,0.01,6.0,0.01,3.0,0.01,100.0,55775.0,83.16,11297.0,16.84,219.0,0.39,327.0,0.59,"MULTIPOLYGON (((-3.836652994155827 40.4750328063966, -3.892043113708439 40.48778915405285, -3.895081043243408 40.49073791503912, -3.905903100967407 40.49533843994152, -3.910414934158212 40.50168991088873, -3.926335096359253 40.49910354614252, -3.933244943618717 40.49953842163086, -3.93602800369257 40.50877380371094, -3.939805030822754 40.50790786743163, -3.938054084777775 40.51186370849615, -3.940563917159977 40.51241302490234, -3.942240953445378 40.51587677001959, -3.940078020095825 40.5181999206543, -3.939759016036987 40.52916717529297, -3.940583944320622 40.53164672851562, -3.946969985961914 40.53574752807617, -3.949790000915527 40.53961563110357, -3.945439100265446 40.5510139465332, -3.942076921462899 40.54795837402349, -3.935992002487183 40.54866409301769, -3.934374094009399 40.55202102661138, -3.932192087173405 40.55052185058593, -3.932385921478271 40.55254745483398, -3.930090904235783 40.5539283752442, -3.931873083114567 40.55994033813471, -3.929267883300668 40.55772018432617, -3.919773101806641 40.55777740478516, -3.908977031707764 40.56482696533203, -3.905706882476807 40.56320190429693, -3.89524507522583 40.56785964965826, -3.890227079391479 40.57244110107416, -3.885327100753784 40.57447052001959, -3.888978004455566 40.57092666625982, -3.887036085128784 40.56617736816406, -3.884099960327092 40.56391906738281, -3.885068893432617 40.56121826171875, -3.873975992202758 40.55754470825201, -3.863291978836002 40.5349617004394, -3.853883981704712 40.5249137878418, -3.85363507270813 40.52011489868164, -3.851460933685245 40.51726531982433, -3.85372591018671 40.51235961914057, -3.851983070373535 40.50985717773449, -3.83649802207941 40.50631332397472, -3.839445114135685 40.49931716918945, -3.834376096725407 40.49404144287104, -3.833307981491032 40.48578643798839, -3.836700916290283 40.48080444335943, -3.836652994155827 40.4750328063966)))",0.5808874943971313,0.8439657193466878,0.10619453160017929,0.15455873910547466,38322.0,16548.0,0.6870820259973106,0.782928473655178,0.296692066337965,0.3015855658829962,41060.0,13810.0,0.7361721201255043,0.7483141971933661,0.2476019722097714,0.2516858028066339,0.10739578664276109,0.7594776214023076,0.03401165396683102,0.2405223785976924,0.20254594352308383,0.16843093988549618,1.0,0.8315690601145038
77,Leganés,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/74.html,37667.0,35.79,8418.0,8.0,20419.0,19.4,24525.0,23.3,9234.0,8.77,3160.0,3.0,523.0,0.5,40.0,0.04,57.0,0.05,34.0,0.03,75.0,0.07,78.0,0.07,52.0,0.05,36.0,0.03,34.0,0.03,61.0,0.06,52.0,0.05,78.0,0.07,35.0,0.03,23.0,0.02,99.54,106193.0,76.27,33035.0,23.73,943.0,0.89,649.0,0.62,"MULTIPOLYGON (((-3.725080966949462 40.3347053527832, -3.732161998748779 40.3319664001466, -3.741456031799316 40.32508087158203, -3.744947910308781 40.31708526611327, -3.76052808761591 40.30112838745117, -3.76139211654663 40.2943000793457, -3.766516923904419 40.2950325012207, -3.774403095245247 40.29306411743175, -3.7779860496521 40.29565048217773, -3.803246021270752 40.2986679077149, -3.808929920196533 40.30163574218749, -3.811897039413395 40.30374145507812, -3.812140941619759 40.31241607666027, -3.817715883255004 40.3276824951173, -3.816999912261962 40.3307342529298, -3.799791097640991 40.34275436401366, -3.804716110229492 40.35304260253918, -3.79892897605896 40.3566513061524, -3.787813901901245 40.3587532043457, -3.780406951904297 40.36190414428722, -3.757742881774845 40.3572731018067, -3.721061944961547 40.36541366577148, -3.725080966949462 40.3347053527832)))",0.35470322902639534,0.648469510725476,0.23094742591319578,0.39434332390018006,62192.0,41231.0,0.5856506549395911,0.7882582574970215,0.3882647632141478,0.39866374017384915,49245.0,54178.0,0.46373113105383595,0.47615133964398637,0.510184287099903,0.5238486603560136,0.19228197715480305,0.6885981182342428,0.08695488403190417,0.3114018817657573,0.3110845347621783,0.23727267503663058,1.0,0.7627273249633695
78,Loeches,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/75.html,2144.0,44.73,581.0,12.12,783.0,16.34,750.0,15.65,349.0,7.28,110.0,2.3,22.0,0.46,3.0,0.06,2.0,0.04,0.0,0.0,2.0,0.04,2.0,0.04,4.0,0.08,2.0,0.04,2.0,0.04,0.0,0.0,3.0,0.06,1.0,0.02,0.0,0.0,0.0,0.0,100.0,4835.0,78.89,1294.0,21.11,42.0,0.87,33.0,0.69,"MULTIPOLYGON (((-3.355907917022648 40.36240386962902, -3.372220039367619 40.3603248596192, -3.376607894897461 40.36333847045898, -3.389455080032292 40.35920715332031, -3.394159078598022 40.35978317260748, -3.402034044265747 40.35722732543945, -3.404567956924438 40.35364151000982, -3.408658981323242 40.35240936279303, -3.41499304771412 40.35250473022467, -3.425601959228459 40.35016632080083, -3.426033020019531 40.35145568847662, -3.434951066970825 40.35195541381842, -3.453556060790959 40.34334182739263, -3.451474905014038 40.35761260986339, -3.454775094985962 40.3618049621582, -3.45937705039978 40.38035583496105, -3.463901042938232 40.38391494750977, -3.46261811256403 40.38729095458984, -3.465313911437931 40.38862991333019, -3.458662986755314 40.38970947265619, -3.455442905425912 40.39428710937494, -3.454082012176514 40.39342880249018, -3.44845008850092 40.39524459838872, -3.449240922927856 40.39754867553717, -3.440150022506714 40.40550231933605, -3.440867900848332 40.41262435913092, -3.435237884521428 40.41314315795898, -3.431694030761718 40.41547393798828, -3.437587976455632 40.43192672729504, -3.435237884521428 40.43151092529296, -3.429497003555184 40.42596435546875, -3.419697046279907 40.42350769042968, -3.411573886871224 40.4253387451173, -3.406903982162419 40.42125320434582, -3.400424003601017 40.40772628784191, -3.371689081191959 40.37512207031256, -3.351914882659855 40.36701202392572, -3.355907917022648 40.36240386962902)))",0.44343329886246124,0.7324906047147249,0.15511892450879008,0.2591568762957844,2894.0,1823.0,0.5985522233712512,0.7295185278548021,0.37704239917269905,0.3864744541021836,2835.0,1882.0,0.5863495346432265,0.6010175959296162,0.3892450879007239,0.3989824040703837,0.16194415718717683,0.691696113074205,0.07218200620475698,0.3083038869257951,0.2676318510858325,0.2111274269864578,1.0,0.7888725730135422
79,Los Molinos,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/87.html,1355.0,49.33,355.0,12.92,367.0,13.36,408.0,14.85,140.0,5.1,93.0,3.39,4.0,0.15,1.0,0.04,0.0,0.0,0.0,0.0,3.0,0.11,0.0,0.0,2.0,0.07,2.0,0.07,0.0,0.0,3.0,0.11,2.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2757.0,80.33,675.0,19.67,10.0,0.36,12.0,0.44,"MULTIPOLYGON (((-4.050501823425293 40.71474456787109, -4.0554780960083 40.71120834350586, -4.056334972381592 40.7069664001466, -4.06151294708252 40.70062637329107, -4.076587200164738 40.69879150390631, -4.080080986022892 40.70256042480468, -4.082497119903508 40.69969940185547, -4.084891796111947 40.70142364501953, -4.089438915252629 40.70158004760747, -4.088039875030461 40.70364761352545, -4.094569206237793 40.70763778686523, -4.102705955505314 40.7028694152832, -4.109223842620792 40.70340728759771, -4.115530967712402 40.70891571044928, -4.125998973846322 40.7244606018067, -4.125102996826172 40.72971343994146, -4.114974975585937 40.74229049682612, -4.106452941894474 40.74622344970703, -4.09756422042841 40.7480583190918, -4.076455116271973 40.72809600830078, -4.065970897674561 40.72261047363281, -4.06460618972767 40.71869277954102, -4.058743953704834 40.71487426757824, -4.050501823425293 40.71474456787109)))",0.49147624229234677,0.7868757259001161,0.14798694232861806,0.23142370958593306,1763.0,955.0,0.6394631846209649,0.7632034632034632,0.34639100471527023,0.3513612950699043,1803.0,915.0,0.6539717083786725,0.6633554083885209,0.33188248095756256,0.336644591611479,0.13311570547696772,0.7238658777120316,0.05077983315197679,0.27613412228796846,0.24483133841131666,0.19667832167832167,1.0,0.8033216783216783
80,Los Santos de la Humosa,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/137.html,650.0,46.9,196.0,14.14,200.0,14.43,213.0,15.37,74.0,5.34,34.0,2.45,6.0,0.43,1.0,0.07,0.0,0.0,0.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.22,1.0,0.07,1.0,0.07,0.0,0.0,0.0,0.0,100.0,1396.0,76.2,436.0,23.8,10.0,0.72,6.0,0.43,"MULTIPOLYGON (((-3.289586067199707 40.53171539306646, -3.283514022827148 40.53668594360351, -3.277740955352783 40.53397750854504, -3.27187705039978 40.53511810302734, -3.249710083007812 40.54373550415033, -3.243946075439396 40.53681182861328, -3.2355699539184 40.53277587890625, -3.230232000350895 40.53195571899414, -3.232944011688176 40.53790664672857, -3.23177790641779 40.53873825073254, -3.227823019027653 40.53545761108404, -3.224003076553345 40.52671813964844, -3.200581073760986 40.51469421386719, -3.198883056640625 40.5039176940918, -3.201194047927856 40.49866104125988, -3.215655088424683 40.50373458862305, -3.224613904953003 40.50448226928711, -3.228415966033936 40.50175476074224, -3.233289003372192 40.50106048583996, -3.233541965484619 40.49926376342785, -3.2404429912566 40.49529647827148, -3.241647958755436 40.49243164062506, -3.244445085525456 40.49213409423822, -3.249454975128174 40.48757553100592, -3.25827693939209 40.48387145996099, -3.273673057556096 40.4861946105957, -3.280143022537231 40.49010086059581, -3.282506942748967 40.49365234375011, -3.287774085998535 40.49496078491211, -3.298487901687622 40.49436950683605, -3.310168027877808 40.50187683105469, -3.30605506896967 40.50535583496094, -3.307775020599308 40.50761413574219, -3.306206941604557 40.51318740844738, -3.301297903060913 40.51085662841797, -3.299187898635864 40.51375198364269, -3.29184889793396 40.51753997802734, -3.284513950347844 40.51656723022466, -3.283864974975472 40.5220870971679, -3.286428928375187 40.52552413940435, -3.284646987915039 40.52845764160162, -3.289586067199707 40.53171539306646)))",0.4656160458452722,0.7647058823529411,0.15257879656160458,0.24681344148319814,863.0,504.0,0.6181948424068768,0.7478336221837089,0.36103151862464183,0.3686905632772495,880.0,487.0,0.6303724928366762,0.6437454279444038,0.34885386819484243,0.3562545720555962,0.14326647564469913,0.7299270072992701,0.05300859598853868,0.27007299270072993,0.3123209169054441,0.23799126637554585,1.0,0.7620087336244541
81,Lozoya,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/76.html,167.0,46.01,35.0,9.64,67.0,18.46,53.0,14.6,22.0,6.06,13.0,3.58,1.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,367.0,80.31,90.0,19.69,4.0,1.09,4.0,1.1,"MULTIPOLYGON (((-3.738404035568124 40.97603988647467, -3.73906493186945 40.97127151489263, -3.733313083648624 40.96168899536133, -3.737453937530518 40.9569320678712, -3.735235929489135 40.95186614990234, -3.736818075180054 40.94128799438477, -3.742759943008366 40.93933868408209, -3.76186990737915 40.92779541015625, -3.772789955139046 40.92495346069347, -3.78675198554987 40.91354751586925, -3.790847063064575 40.91456985473633, -3.81848406791687 40.94073867797857, -3.826328992843571 40.9460067749024, -3.830797910690307 40.95176315307617, -3.835953950881901 40.97235488891602, -3.843123912811222 40.98291778564453, -3.830159902572575 40.98619842529297, -3.822367906570378 40.98477554321288, -3.814897060394287 40.98628997802746, -3.802964925765934 40.99237442016602, -3.781764984130859 41.00020217895508, -3.771214962005615 41.01224517822277, -3.768104076385498 41.00849914550781, -3.761506080627385 41.00551605224615, -3.755805969238281 40.99382019042969, -3.745986938476562 40.98751068115234, -3.738404035568124 40.97603988647467)))",0.4550408719346049,0.7136752136752137,0.1444141689373297,0.2409090909090909,220.0,137.0,0.5994550408719346,0.7236842105263158,0.37329700272479566,0.38375350140056025,215.0,142.0,0.5858310626702997,0.6022408963585434,0.3869209809264305,0.39775910364145656,0.18256130790190736,0.7528089887640449,0.05994550408719346,0.24719101123595505,0.2452316076294278,0.19693654266958424,1.0,0.8030634573304157
82,Lozoyuela-Navas-Sieteiglesias,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/901.html,324.0,46.75,55.0,7.94,113.0,16.31,112.0,16.16,60.0,8.66,19.0,2.74,2.0,0.29,1.0,0.14,0.0,0.0,0.0,0.0,1.0,0.14,1.0,0.14,1.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,700.0,74.63,238.0,25.37,7.0,1.0,4.0,0.58,"MULTIPOLYGON (((-3.571094989776611 40.90374374389654, -3.573543071746826 40.90134429931646, -3.602060079574585 40.89468765258783, -3.598823070526123 40.8885612487794, -3.619587898254395 40.88275146484386, -3.62231707572937 40.88363647460943, -3.639939069747924 40.88083648681651, -3.650053977966308 40.88118743896496, -3.662782907485905 40.88869857788092, -3.674144029617309 40.89242553710943, -3.672430038452149 40.90256881713867, -3.664521932601815 40.91795730590815, -3.663747072219735 40.92359161376952, -3.65668797492981 40.92666625976562, -3.648812055587768 40.93387222290045, -3.645766973495426 40.94067382812506, -3.647221088409424 40.94614028930675, -3.645101070403996 40.95414352417004, -3.629635095596313 40.96210479736322, -3.620991945266667 40.94893264770513, -3.612977027893066 40.94176864624035, -3.60804009437561 40.94499206542969, -3.594038963317871 40.94946289062511, -3.5867760181427 40.95033645629893, -3.57013988494873 40.93920516967779, -3.574424982070866 40.92362976074219, -3.576622009277344 40.92358016967778, -3.572057008743286 40.91629791259777, -3.569828033447152 40.91533660888683, -3.569067001342773 40.90961837768555, -3.571094989776611 40.90374374389654)))",0.46285714285714286,0.7414187643020596,0.16,0.25688073394495414,436.0,247.0,0.6228571428571429,0.7635726795096323,0.35285714285714287,0.3616398243045388,398.0,285.0,0.5685714285714286,0.582723279648609,0.40714285714285714,0.4172767203513909,0.16142857142857142,0.653179190751445,0.08571428571428572,0.3468208092485549,0.34,0.2537313432835821,1.0,0.746268656716418
83,Madarcos,https://resultados.elpais.com/elecciones/2021/autonomicas/12/28/78.html,19.0,44.19,2.0,4.65,5.0,11.63,4.0,9.3,12.0,27.91,0.0,0.0,1.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,43.0,91.49,4.0,8.51,0.0,0.0,0.0,0.0,"MULTIPOLYGON (((-3.557508945465088 41.02903366088873, -3.560473918914795 41.02529144287109, -3.562539100646973 41.02614593505871, -3.56978702545166 41.02372360229498, -3.576805114746094 41.02368927001964, -3.579950094223022 41.02157974243163, -3.586347103118839 41.02277374267577, -3.580122947692871 41.02644348144531, -3.580158948898259 41.03062438964844, -3.584765911102238 41.03343963623041, -3.583750963211002 41.03462219238281, -3.581844091415405 41.03403854370122, -3.58597111701954 41.03815460205089, -3.587088108062744 41.04332733154308, -3.588263988494873 41.04434967041016, -3.586065053939819 41.0486106872558, -3.586229085922241 41.05761718750011, -3.581921100616398 41.05899047851574, -3.563127040863037 41.05870819091803, -3.56221604347229 41.04963684082042, -3.559218883514347 41.04842758178711, -3.554744958877563 41.03572463989263, -3.557508945465088 41.02903366088873)))",0.4418604651162791,0.7916666666666666,0.09302325581395349,0.17391304347826086,23.0,19.0,0.5348837209302325,0.6052631578947368,0.4418604651162791,0.4523809523809524,21.0,21.0,0.4883720930232558,0.5,0.4883720930232558,0.5,0.11627906976744186,0.29411764705882354,0.27906976744186046,0.7058823529411765,0.09302325581395349,0.0851063829787234,1.0,0.9148936170212766
